Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_3_scale_08;0.1061;0.1703;0.1303;0.9753;0.5951;0.1921;0.2866;0.8442;0.0097;0.0911;0.0176;0.9277;0.0252;0.1665;0.0437;0.8615;0.1840;0.1550;0.1195;0.9022
OCSVM_kernel-poly_3_scale_09;0.1259;0.0784;0.0963;0.9841;0.8316;0.0975;0.1724;0.8466;0.0103;0.0635;0.0176;0.9509;0.0226;0.0675;0.0338;0.9257;0.2476;0.0767;0.0800;0.9268
OCSVM_kernel-poly_3_auto_01;0.0233;0.6811;0.0449;0.6774;0.8190;0.1864;0.2887;0.8539;0.0343;0.1151;0.0528;0.9736;0.0234;0.4181;0.0443;0.6535;0.2250;0.3502;0.1077;0.7896
OCSVM_kernel-poly_3_auto_02;0.0249;0.3757;0.0468;0.8646;0.2723;0.6666;0.3863;0.6471;0.0269;0.1185;0.0437;0.9616;0.0238;0.6672;0.0457;0.4418;0.0870;0.4570;0.1306;0.7288
OCSVM_kernel-poly_3_auto_03;0.0992;0.0595;0.0742;0.9859;0.2909;0.7116;0.2925;0.4412;0.0218;0.4755;0.0292;0.7251;0.0249;0.5232;0.0472;0.5761;0.1092;0.4425;0.1108;0.6821
OCSVM_kernel-poly_3_auto_04;0.0823;0.4162;0.0968;0.7942;0.2491;0.6896;0.3530;0.5501;0.0414;0.1029;0.0560;0.9695;0.0236;0.5501;0.0452;0.5502;0.0991;0.4397;0.1378;0.7160
OCSVM_kernel-poly_3_auto_05;0.0214;0.6351;0.0414;0.6739;0.5398;0.3063;0.3004;0.7637;0.0264;0.2345;0.0448;0.8987;0.0205;0.2551;0.0368;0.7635;0.1520;0.3578;0.1058;0.7750
OCSVM_kernel-poly_3_auto_06;0.0571;0.4838;0.0792;0.7689;0.2768;0.5159;0.3596;0.6917;0.0100;0.2898;0.0193;0.8092;0.0244;0.3495;0.0455;0.7216;0.0921;0.4098;0.1259;0.7478
OCSVM_kernel-poly_3_auto_07;0.0582;0.3838;0.0598;0.8096;0.6782;0.0670;0.1198;0.8421;0.0096;0.5128;0.0187;0.6627;0.0238;0.6276;0.0457;0.5068;0.1924;0.3978;0.0610;0.7053
OCSVM_kernel-poly_3_auto_08;0.0199;0.6892;0.0386;0.6189;0.5159;0.2758;0.3513;0.8317;0.0085;0.2423;0.0163;0.7843;0.0260;0.6010;0.0498;0.5567;0.1426;0.4521;0.1140;0.6979
OCSVM_kernel-poly_3_auto_09;0.0443;0.3270;0.0765;0.8959;0.2408;0.6763;0.3550;0.5906;0.0096;0.5009;0.0187;0.6202;0.0207;0.0495;0.0285;0.9387;0.0788;0.3884;0.1197;0.7614
OCSVM_kernel-rbf_scale_01;0.0188;0.7784;0.0367;0.5491;0.1740;0.8692;0.2899;0.2903;0.0134;0.6738;0.0263;0.6394;0.0221;0.7942;0.0429;0.3171;0.0571;0.7789;0.0990;0.4490
OCSVM_kernel-rbf_scale_02;0.0234;0.7351;0.0453;0.6589;0.1804;0.7729;0.2925;0.3781;0.0136;0.6583;0.0267;0.6532;0.0233;0.7331;0.0452;0.4028;0.0602;0.7249;0.1024;0.5233
OCSVM_kernel-rbf_scale_03;0.0310;0.6459;0.0591;0.7742;0.1910;0.6767;0.2978;0.4711;0.0136;0.5749;0.0265;0.6951;0.0246;0.6441;0.0474;0.5010;0.0650;0.6354;0.1077;0.6104
OCSVM_kernel-rbf_scale_04;0.0376;0.5459;0.0704;0.8418;0.2028;0.5817;0.3005;0.5530;0.0142;0.4957;0.0277;0.7504;0.0253;0.5469;0.0484;0.5864;0.0700;0.5425;0.1117;0.6829
OCSVM_kernel-rbf_scale_05;0.0407;0.4622;0.0747;0.8743;0.2209;0.4809;0.3018;0.6358;0.0149;0.4403;0.0288;0.7870;0.0252;0.4413;0.0478;0.6617;0.0754;0.4562;0.1133;0.7397
OCSVM_kernel-rbf_scale_06;0.0514;0.3811;0.0905;0.9161;0.2561;0.3867;0.3064;0.7152;0.0148;0.3412;0.0283;0.8327;0.0274;0.3687;0.0510;0.7371;0.0874;0.3694;0.1191;0.8003
OCSVM_kernel-rbf_scale_07;0.0732;0.2784;0.1158;0.9536;0.3149;0.2848;0.2960;0.7813;0.0161;0.2657;0.0304;0.8794;0.0283;0.2733;0.0513;0.8066;0.1081;0.2755;0.1234;0.8552
OCSVM_kernel-rbf_scale_08;0.0857;0.1865;0.1173;0.9693;0.4276;0.1901;0.2565;0.8252;0.0155;0.1669;0.0284;0.9191;0.0261;0.1714;0.0453;0.8614;0.1387;0.1787;0.1119;0.8938
OCSVM_kernel-rbf_scale_09;0.0869;0.0919;0.0892;0.9795;0.6897;0.0963;0.1644;0.8429;0.0161;0.0754;0.0265;0.9603;0.0244;0.0807;0.0375;0.9210;0.2043;0.0861;0.0794;0.9259
OCSVM_kernel-rbf_auto_01;0.0159;0.8757;0.0313;0.4026;0.1723;0.8863;0.2885;0.2711;0.0117;0.8131;0.0230;0.4989;0.0219;0.8633;0.0427;0.2527;0.0554;0.8596;0.0964;0.3563
OCSVM_kernel-rbf_auto_02;0.0218;0.7757;0.0423;0.6137;0.1790;0.7835;0.2914;0.3664;0.0124;0.7454;0.0244;0.5690;0.0232;0.7728;0.0451;0.3688;0.0591;0.7693;0.1008;0.4795
