Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_auto_03;0.0088;0.7000;0.0173;0.1250;0.3991;0.6998;0.5076;0.7756;0.0058;0.6855;0.0114;0.1360;0.0156;0.6889;0.0306;0.1585;0.1073;0.6936;0.1417;0.2988
OCSVM_kernel-rbf_auto_04;0.0080;0.6000;0.0158;0.1787;0.4885;0.5979;0.5357;0.8301;0.0051;0.5906;0.0102;0.1662;0.0144;0.5899;0.0282;0.2172;0.1290;0.5946;0.1475;0.3481
OCSVM_kernel-rbf_auto_05;0.0069;0.4946;0.0137;0.2148;0.6030;0.4992;0.5434;0.8627;0.0045;0.4994;0.0090;0.2020;0.0129;0.4911;0.0252;0.2694;0.1568;0.4961;0.1478;0.3872
OCSVM_kernel-rbf_auto_06;0.0058;0.3919;0.0115;0.2595;0.7108;0.3996;0.5088;0.8736;0.0039;0.3926;0.0077;0.2637;0.0113;0.3953;0.0219;0.3226;0.1830;0.3949;0.1375;0.4299
OCSVM_kernel-rbf_auto_07;0.0049;0.3000;0.0096;0.3214;0.7669;0.2985;0.4280;0.8682;0.0033;0.3054;0.0065;0.3255;0.0094;0.2946;0.0182;0.3902;0.1961;0.2996;0.1156;0.4763
OCSVM_kernel-rbf_auto_08;0.0038;0.1973;0.0074;0.4195;0.8062;0.1982;0.3163;0.8585;0.0024;0.1982;0.0047;0.3957;0.0076;0.2056;0.0147;0.4750;0.2050;0.1998;0.0858;0.5372
OCSVM_kernel-rbf_auto_09;0.0024;0.0973;0.0047;0.5502;0.8769;0.0987;0.1755;0.8475;0.0016;0.1066;0.0031;0.5154;0.0050;0.1036;0.0095;0.5894;0.2215;0.1016;0.0482;0.6257
OCSVM_kernel-sigmoid_scale_01;0.0274;0.7946;0.0530;0.6870;0.1403;0.7555;0.2366;0.1872;0.0174;0.6474;0.0340;0.7328;0.0291;0.7878;0.0560;0.4889;0.0535;0.7463;0.0949;0.5240
OCSVM_kernel-sigmoid_scale_02;0.0316;0.7459;0.0606;0.7457;0.1391;0.7198;0.2331;0.2103;0.0168;0.6078;0.0326;0.7384;0.0305;0.7333;0.0585;0.5456;0.0545;0.7017;0.0962;0.5600
OCSVM_kernel-sigmoid_scale_03;0.0351;0.6324;0.0665;0.8049;0.1389;0.6666;0.2298;0.2555;0.0161;0.5518;0.0313;0.7525;0.0331;0.6493;0.0629;0.6285;0.0558;0.6250;0.0976;0.6103
OCSVM_kernel-sigmoid_scale_04;0.0377;0.5595;0.0707;0.8384;0.1340;0.5789;0.2176;0.3067;0.0160;0.4845;0.0310;0.7807;0.0366;0.5635;0.0688;0.7072;0.0561;0.5466;0.0970;0.6583
OCSVM_kernel-sigmoid_scale_05;0.0441;0.4730;0.0807;0.8819;0.1282;0.4830;0.2026;0.3675;0.0168;0.4169;0.0322;0.8182;0.0383;0.4694;0.0708;0.7638;0.0568;0.4606;0.0966;0.7078
OCSVM_kernel-sigmoid_scale_06;0.0498;0.3811;0.0880;0.9134;0.1140;0.3729;0.1746;0.4140;0.0172;0.3537;0.0328;0.8494;0.0434;0.3774;0.0779;0.8303;0.0561;0.3713;0.0933;0.7518
OCSVM_kernel-sigmoid_scale_07;0.0482;0.2919;0.0827;0.9289;0.1049;0.2876;0.1537;0.4740;0.0173;0.2551;0.0325;0.8914;0.0454;0.2736;0.0778;0.8769;0.0539;0.2770;0.0866;0.7928
OCSVM_kernel-sigmoid_scale_08;0.0556;0.1892;0.0859;0.9562;0.0914;0.1918;0.1238;0.5505;0.0177;0.1755;0.0321;0.9245;0.0448;0.1828;0.0719;0.9107;0.0524;0.1848;0.0784;0.8355
OCSVM_kernel-sigmoid_scale_09;0.0504;0.1027;0.0674;0.9698;0.0772;0.0959;0.0854;0.6621;0.0147;0.0920;0.0254;0.9518;0.0523;0.0972;0.0676;0.9511;0.0487;0.0969;0.0615;0.8837
OCSVM_kernel-sigmoid_auto_01;0.0304;0.7703;0.0584;0.7256;0.1335;0.6796;0.2232;0.2114;0.0184;0.5718;0.0356;0.7752;0.0304;0.7581;0.0584;0.5294;0.0532;0.6950;0.0939;0.5604
OCSVM_kernel-sigmoid_auto_02;0.0328;0.7324;0.0628;0.7597;0.1374;0.7056;0.2300;0.2122;0.0173;0.6037;0.0337;0.7488;0.0307;0.7235;0.0588;0.5546;0.0546;0.6913;0.0963;0.5688
OCSVM_kernel-sigmoid_auto_03;0.0357;0.6189;0.0676;0.8123;0.1379;0.6584;0.2281;0.2573;0.0164;0.5440;0.0319;0.7602;0.0335;0.6493;0.0637;0.6334;0.0559;0.6177;0.0978;0.6158
OCSVM_kernel-sigmoid_auto_04;0.0382;0.5486;0.0715;0.8434;0.1335;0.5756;0.2167;0.3071;0.0163;0.4765;0.0316;0.7878;0.0363;0.5487;0.0680;0.7115;0.0561;0.5374;0.0969;0.6624
OCSVM_kernel-sigmoid_auto_05;0.0438;0.4514;0.0798;0.8858;0.1279;0.4818;0.2021;0.3671;0.0169;0.4049;0.0325;0.8249;0.0384;0.4629;0.0709;0.7674;0.0567;0.4502;0.0963;0.7113
OCSVM_kernel-sigmoid_auto_06;0.0489;0.3649;0.0862;0.9152;0.1140;0.3729;0.1746;0.4140;0.0177;0.3417;0.0336;0.8582;0.0439;0.3757;0.0786;0.8325;0.0561;0.3638;0.0932;0.7550
OCSVM_kernel-sigmoid_auto_07;0.0480;0.2838;0.0821;0.9304;0.1045;0.2864;0.1530;0.4736;0.0178;0.2471;0.0331;0.8973;0.0447;0.2636;0.0764;0.8791;0.0537;0.2702;0.0862;0.7951
OCSVM_kernel-sigmoid_auto_08;0.0570;0.1919;0.0878;0.9566;0.0910;0.1905;0.1232;0.5509;0.0171;0.1637;0.0310;0.9270;0.0452;0.1811;0.0722;0.9122;0.0526;0.1818;0.0785;0.8367
OCSVM_kernel-sigmoid_auto_09;0.0497;0.0946;0.0649;0.9708;0.0770;0.0955;0.0852;0.6625;0.0147;0.0880;0.0252;0.9535;0.0527;0.0955;0.0675;0.9518;0.0485;0.0934;0.0607;0.8846
