Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-rbf_scale_09;0.0024;0.0973;0.0047;0.5522;0.8558;0.0995;0.1768;0.8471;0.0015;0.0985;0.0029;0.5087;0.0044;0.1021;0.0084;0.5375;0.2160;0.0993;0.0482;0.6114
OCSVM_kernel-rbf_auto_01;0.0102;0.8892;0.0201;0.0468;0.2299;0.8956;0.3657;0.4828;0.0068;0.8846;0.0135;0.0581;0.0180;0.8964;0.0353;0.0536;0.0662;0.8915;0.1086;0.1603
OCSVM_kernel-rbf_auto_02;0.0094;0.7892;0.0187;0.0858;0.3274;0.7957;0.4631;0.6948;0.0063;0.7811;0.0126;0.1074;0.0165;0.7861;0.0323;0.0933;0.0899;0.7880;0.1317;0.2453
OCSVM_kernel-rbf_auto_03;0.0088;0.6946;0.0173;0.1304;0.4023;0.6962;0.5086;0.7789;0.0058;0.6777;0.0114;0.1477;0.0156;0.6972;0.0305;0.1460;0.1081;0.6914;0.1420;0.3008
OCSVM_kernel-rbf_auto_04;0.0079;0.6000;0.0155;0.1634;0.5104;0.5978;0.5466;0.8391;0.0052;0.5820;0.0104;0.1896;0.0142;0.5934;0.0277;0.1978;0.1344;0.5933;0.1500;0.3475
OCSVM_kernel-rbf_auto_05;0.0070;0.4973;0.0137;0.2128;0.6599;0.4995;0.5630;0.8754;0.0046;0.4911;0.0091;0.2252;0.0127;0.4960;0.0248;0.2507;0.1711;0.4960;0.1527;0.3910
OCSVM_kernel-rbf_auto_06;0.0059;0.4000;0.0117;0.2553;0.7530;0.4049;0.5221;0.8797;0.0039;0.3882;0.0078;0.2795;0.0109;0.3921;0.0212;0.3047;0.1934;0.3963;0.1407;0.4298
OCSVM_kernel-rbf_auto_07;0.0048;0.3000;0.0095;0.3113;0.7613;0.3005;0.4277;0.8682;0.0032;0.2934;0.0063;0.3287;0.0092;0.3028;0.0179;0.3639;0.1946;0.2992;0.1153;0.4680
OCSVM_kernel-rbf_auto_08;0.0036;0.2000;0.0071;0.3881;0.8330;0.1966;0.3153;0.8597;0.0023;0.1942;0.0046;0.4001;0.0072;0.2024;0.0139;0.4518;0.2115;0.1983;0.0853;0.5249
OCSVM_kernel-rbf_auto_09;0.0025;0.1000;0.0048;0.5504;0.8528;0.0987;0.1754;0.8469;0.0014;0.0945;0.0028;0.5018;0.0045;0.1054;0.0086;0.5373;0.2153;0.0996;0.0479;0.6091
OCSVM_kernel-sigmoid_scale_01;0.0343;0.6919;0.0653;0.7817;0.1377;0.7255;0.2314;0.1967;0.0183;0.4971;0.0354;0.8038;0.0314;0.7053;0.0602;0.5757;0.0554;0.6549;0.0981;0.5895
OCSVM_kernel-sigmoid_scale_02;0.0397;0.6432;0.0747;0.8247;0.1358;0.6930;0.2271;0.2139;0.0187;0.4928;0.0361;0.8090;0.0327;0.6658;0.0623;0.6147;0.0567;0.6237;0.1001;0.6156
OCSVM_kernel-sigmoid_scale_03;0.0399;0.5541;0.0744;0.8483;0.1351;0.6414;0.2231;0.2559;0.0179;0.4449;0.0345;0.8192;0.0352;0.6064;0.0666;0.6732;0.0570;0.5617;0.0996;0.6491
OCSVM_kernel-sigmoid_scale_04;0.0431;0.5054;0.0794;0.8714;0.1327;0.5699;0.2153;0.3084;0.0178;0.4054;0.0341;0.8337;0.0391;0.5388;0.0730;0.7376;0.0582;0.5049;0.1005;0.6878
OCSVM_kernel-sigmoid_scale_05;0.0498;0.4432;0.0894;0.9016;0.1273;0.4769;0.2009;0.3695;0.0173;0.3378;0.0330;0.8568;0.0434;0.4431;0.0791;0.8025;0.0594;0.4253;0.1006;0.7326
OCSVM_kernel-sigmoid_scale_06;0.0554;0.3514;0.0956;0.9272;0.1168;0.3778;0.1784;0.4226;0.0181;0.2903;0.0340;0.8813;0.0468;0.3475;0.0824;0.8536;0.0592;0.3418;0.0976;0.7712
OCSVM_kernel-sigmoid_scale_07;0.0620;0.2703;0.1008;0.9474;0.1072;0.2868;0.1560;0.4863;0.0180;0.2274;0.0333;0.9060;0.0507;0.2586;0.0847;0.8956;0.0595;0.2608;0.0937;0.8088
OCSVM_kernel-sigmoid_scale_08;0.0863;0.1946;0.1194;0.9687;0.0972;0.1893;0.1283;0.5754;0.0188;0.1715;0.0339;0.9307;0.0517;0.1747;0.0797;0.9244;0.0635;0.1825;0.0903;0.8498
OCSVM_kernel-sigmoid_scale_09;0.1029;0.0919;0.0957;0.9817;0.0799;0.0967;0.0874;0.6682;0.0153;0.0800;0.0257;0.9593;0.0546;0.0791;0.0645;0.9571;0.0632;0.0869;0.0683;0.8916
OCSVM_kernel-sigmoid_auto_01;0.0723;0.3297;0.1173;0.9424;0.1204;0.5003;0.1934;0.3183;0.0244;0.1709;0.0425;0.9460;0.0447;0.4218;0.0807;0.8158;0.0654;0.3557;0.1085;0.7557
OCSVM_kernel-sigmoid_auto_02;0.0493;0.4973;0.0897;0.8893;0.1243;0.5483;0.2026;0.2844;0.0242;0.3131;0.0450;0.9021;0.0356;0.5883;0.0672;0.6867;0.0584;0.4867;0.1011;0.6906
OCSVM_kernel-sigmoid_auto_03;0.0449;0.4865;0.0822;0.8809;0.1280;0.5610;0.2085;0.2907;0.0195;0.3535;0.0370;0.8665;0.0389;0.5702;0.0729;0.7210;0.0579;0.4928;0.1001;0.6898
OCSVM_kernel-sigmoid_auto_04;0.0474;0.4730;0.0861;0.8899;0.1296;0.5309;0.2084;0.3282;0.0183;0.3377;0.0348;0.8640;0.0412;0.4992;0.0761;0.7674;0.0591;0.4602;0.1013;0.7124
OCSVM_kernel-sigmoid_auto_05;0.0511;0.4189;0.0911;0.9088;0.1242;0.4538;0.1951;0.3766;0.0194;0.3142;0.0365;0.8802;0.0434;0.4249;0.0788;0.8101;0.0595;0.4029;0.1004;0.7439
OCSVM_kernel-sigmoid_auto_06;0.0581;0.3324;0.0990;0.9339;0.1146;0.3673;0.1747;0.4237;0.0194;0.2745;0.0362;0.8954;0.0481;0.3426;0.0843;0.8595;0.0601;0.3292;0.0985;0.7781
OCSVM_kernel-sigmoid_auto_07;0.0634;0.2676;0.1025;0.9487;0.1057;0.2783;0.1531;0.4903;0.0175;0.1994;0.0321;0.9147;0.0499;0.2405;0.0825;0.9001;0.0591;0.2464;0.0926;0.8134
OCSVM_kernel-sigmoid_auto_08;0.0888;0.1892;0.1208;0.9700;0.0958;0.1861;0.1264;0.5756;0.0164;0.1358;0.0292;0.9369;0.0507;0.1615;0.0770;0.9280;0.0629;0.1682;0.0884;0.8526
OCSVM_kernel-sigmoid_auto_09;0.1105;0.0892;0.0974;0.9825;0.0778;0.0935;0.0849;0.6685;0.0159;0.0720;0.0261;0.9628;0.0541;0.0742;0.0624;0.9585;0.0646;0.0822;0.0677;0.8931
