Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-poly_3_scale_02;0.0516;0.5784;0.0946;0.8785;0.1803;0.7369;0.2896;0.4001;0.0216;0.4406;0.0411;0.8516;0.0305;0.6580;0.0582;0.5906;0.0710;0.6035;0.1209;0.6802
OCSVM_kernel-poly_3_scale_03;0.0605;0.5622;0.1093;0.8995;0.1910;0.6545;0.2955;0.4839;0.0214;0.4246;0.0408;0.8557;0.0320;0.5856;0.0607;0.6525;0.0762;0.5567;0.1265;0.7229
OCSVM_kernel-poly_3_scale_04;0.0718;0.5189;0.1260;0.9213;0.2074;0.5692;0.3037;0.5702;0.0219;0.4048;0.0416;0.8655;0.0337;0.5065;0.0631;0.7132;0.0837;0.4998;0.1336;0.7675
OCSVM_kernel-poly_3_scale_05;0.0941;0.4432;0.1550;0.9473;0.2262;0.4761;0.3061;0.6461;0.0237;0.3651;0.0445;0.8868;0.0388;0.4407;0.0713;0.7826;0.0957;0.4313;0.1442;0.8157
OCSVM_kernel-poly_3_scale_06;0.1062;0.3351;0.1611;0.9619;0.2704;0.3835;0.3158;0.7296;0.0222;0.2775;0.0411;0.9065;0.0397;0.3236;0.0707;0.8386;0.1096;0.3299;0.1472;0.8591
OCSVM_kernel-poly_3_scale_07;0.1360;0.2676;0.1800;0.9737;0.3124;0.2897;0.2979;0.7802;0.0228;0.2215;0.0414;0.9261;0.0427;0.2527;0.0730;0.8791;0.1285;0.2579;0.1481;0.8898
OCSVM_kernel-poly_3_scale_08;0.1846;0.1892;0.1853;0.9825;0.3865;0.1966;0.2567;0.8178;0.0202;0.1308;0.0350;0.9486;0.0455;0.1702;0.0717;0.9187;0.1592;0.1717;0.1372;0.9169
OCSVM_kernel-poly_3_scale_09;0.2390;0.0919;0.1325;0.9870;0.4313;0.0979;0.1562;0.8313;0.0179;0.0671;0.0282;0.9674;0.0419;0.0712;0.0527;0.9520;0.1825;0.0820;0.0924;0.9344
OCSVM_kernel-poly_3_auto_01;0.0471;0.5838;0.0872;0.8656;0.1788;0.7795;0.2908;0.3675;0.0214;0.4406;0.0408;0.8506;0.0292;0.6793;0.0559;0.5586;0.0691;0.6208;0.1187;0.6606
OCSVM_kernel-poly_3_auto_02;0.0518;0.5838;0.0952;0.8781;0.1801;0.7361;0.2893;0.3999;0.0215;0.4406;0.0410;0.8515;0.0304;0.6580;0.0580;0.5894;0.0710;0.6046;0.1209;0.6797
OCSVM_kernel-poly_3_auto_03;0.0603;0.5595;0.1088;0.8995;0.1913;0.6545;0.2958;0.4848;0.0214;0.4246;0.0408;0.8557;0.0320;0.5856;0.0607;0.6525;0.0762;0.5560;0.1265;0.7231
