Parametros;Precision-Bug;Recall-Bug;F1-Bug;acuracy-Bug;Precision-Rating;Recall-Rating;F1-Rating;acuracy-Rating;Precision-Feature;Recall-Feature;F1-Feature;acuracy-Feature;Precision-UserExperience;Recall-UserExperience;F1-UserExperience;acuracy-UserExperience;Precision;Recall;F1;acuracy
OCSVM_kernel-linear_auto_07;0.1014;0.2973;0.1512;0.9635;0.4037;0.2945;0.3378;0.8124;0.0206;0.2697;0.0383;0.9023;0.0488;0.2853;0.0834;0.8805;0.1436;0.2867;0.1526;0.8897
OCSVM_kernel-linear_auto_08;0.1499;0.1919;0.1682;0.9792;0.4706;0.1954;0.2730;0.8311;0.0177;0.1623;0.0320;0.9303;0.0479;0.1831;0.0759;0.9159;0.1715;0.1832;0.1373;0.9141
OCSVM_kernel-linear_auto_09;0.3917;0.1027;0.1618;0.9884;0.5177;0.0995;0.1652;0.8362;0.0178;0.0874;0.0295;0.9588;0.0423;0.0891;0.0573;0.9443;0.2424;0.0947;0.1035;0.9319
OCSVM_kernel-poly_2_scale_01;0.0287;0.7838;0.0554;0.7052;0.1708;0.8542;0.2846;0.2841;0.0149;0.6868;0.0291;0.6675;0.0257;0.8107;0.0498;0.4032;0.0600;0.7839;0.1047;0.5150
OCSVM_kernel-poly_2_scale_02;0.0349;0.7351;0.0666;0.7728;0.1765;0.7718;0.2873;0.3628;0.0147;0.6709;0.0288;0.6720;0.0283;0.7514;0.0545;0.4984;0.0636;0.7323;0.1093;0.5765
OCSVM_kernel-poly_2_scale_03;0.0433;0.6676;0.0814;0.8341;0.1904;0.6792;0.2972;0.4671;0.0159;0.6155;0.0310;0.7209;0.0307;0.6559;0.0587;0.5950;0.0701;0.6545;0.1171;0.6543
OCSVM_kernel-poly_2_scale_04;0.0534;0.5811;0.0978;0.8820;0.2053;0.5862;0.3038;0.5557;0.0163;0.5358;0.0317;0.7632;0.0351;0.5620;0.0661;0.6950;0.0775;0.5663;0.1248;0.7240
OCSVM_kernel-poly_2_scale_05;0.0633;0.4676;0.1116;0.9182;0.2398;0.4834;0.3198;0.6617;0.0178;0.4526;0.0343;0.8171;0.0370;0.4665;0.0685;0.7568;0.0895;0.4675;0.1336;0.7885
OCSVM_kernel-poly_2_scale_06;0.0776;0.3973;0.1297;0.9418;0.3119;0.3896;0.3445;0.7579;0.0201;0.3649;0.0381;0.8662;0.0388;0.3743;0.0703;0.8112;0.1121;0.3815;0.1457;0.8443
OCSVM_kernel-poly_2_scale_07;0.1063;0.2892;0.1554;0.9656;0.4336;0.2945;0.3480;0.8202;0.0199;0.2655;0.0371;0.9014;0.0435;0.2836;0.0754;0.8679;0.1508;0.2832;0.1540;0.8888
OCSVM_kernel-poly_2_scale_08;0.1458;0.1919;0.1656;0.9788;0.5450;0.1950;0.2834;0.8401;0.0192;0.1705;0.0345;0.9320;0.0435;0.1799;0.0700;0.9096;0.1884;0.1843;0.1384;0.9151
OCSVM_kernel-poly_2_scale_09;0.3497;0.1027;0.1572;0.9881;0.6309;0.0987;0.1692;0.8409;0.0164;0.0794;0.0272;0.9595;0.0382;0.0940;0.0543;0.9376;0.2588;0.0937;0.1020;0.9315
OCSVM_kernel-poly_2_auto_01;0.0286;0.7811;0.0552;0.7054;0.1708;0.8542;0.2846;0.2842;0.0149;0.6868;0.0291;0.6672;0.0257;0.8107;0.0498;0.4035;0.0600;0.7832;0.1047;0.5151
OCSVM_kernel-poly_2_auto_02;0.0349;0.7351;0.0666;0.7727;0.1767;0.7718;0.2875;0.3634;0.0147;0.6709;0.0288;0.6716;0.0283;0.7514;0.0545;0.4976;0.0636;0.7323;0.1093;0.5763
OCSVM_kernel-poly_2_auto_03;0.0434;0.6676;0.0815;0.8343;0.1901;0.6788;0.2968;0.4664;0.0159;0.6155;0.0310;0.7210;0.0307;0.6559;0.0587;0.5950;0.0700;0.6544;0.1170;0.6542
OCSVM_kernel-poly_2_auto_04;0.0534;0.5811;0.0978;0.8820;0.2053;0.5862;0.3039;0.5557;0.0164;0.5358;0.0317;0.7632;0.0351;0.5620;0.0660;0.6950;0.0775;0.5663;0.1249;0.7240
OCSVM_kernel-poly_2_auto_05;0.0633;0.4676;0.1116;0.9182;0.2397;0.4834;0.3197;0.6616;0.0178;0.4526;0.0343;0.8170;0.0370;0.4665;0.0685;0.7567;0.0895;0.4675;0.1335;0.7884
OCSVM_kernel-poly_2_auto_06;0.0776;0.3973;0.1297;0.9418;0.3120;0.3896;0.3446;0.7580;0.0201;0.3649;0.0380;0.8660;0.0389;0.3743;0.0704;0.8114;0.1121;0.3815;0.1457;0.8443
OCSVM_kernel-poly_2_auto_07;0.1061;0.2892;0.1552;0.9655;0.4345;0.2966;0.3495;0.8204;0.0199;0.2655;0.0371;0.9014;0.0435;0.2836;0.0754;0.8679;0.1510;0.2837;0.1543;0.8888
OCSVM_kernel-poly_2_auto_08;0.1449;0.1919;0.1650;0.9787;0.5480;0.1966;0.2858;0.8403;0.0192;0.1705;0.0345;0.9318;0.0435;0.1799;0.0701;0.9097;0.1889;0.1847;0.1388;0.9151
OCSVM_kernel-poly_2_auto_09;0.3497;0.1027;0.1572;0.9881;0.6336;0.0999;0.1711;0.8411;0.0164;0.0794;0.0272;0.9595;0.0381;0.0940;0.0542;0.9376;0.2594;0.0940;0.1024;0.9316
OCSVM_kernel-poly_3_scale_01;0.0400;0.6649;0.0754;0.8202;0.1718;0.7856;0.2820;0.3334;0.0175;0.5515;0.0338;0.7708;0.0280;0.7185;0.0538;0.5135;0.0643;0.6801;0.1113;0.6095
OCSVM_kernel-poly_3_scale_02;0.0423;0.6514;0.0795;0.8337;0.1790;0.7401;0.2882;0.3920;0.0172;0.5435;0.0333;0.7704;0.0288;0.6922;0.0552;0.5441;0.0668;0.6568;0.1141;0.6350
OCSVM_kernel-poly_3_scale_03;0.0454;0.6108;0.0846;0.8542;0.1915;0.6646;0.2971;0.4782;0.0168;0.5160;0.0325;0.7769;0.0299;0.6279;0.0571;0.6009;0.0709;0.6048;0.1178;0.6776
OCSVM_kernel-poly_3_scale_04;0.0517;0.5459;0.0945;0.8849;0.2079;0.5764;0.3053;0.5662;0.0177;0.4882;0.0341;0.7999;0.0312;0.5339;0.0590;0.6728;0.0771;0.5361;0.1232;0.7310
OCSVM_kernel-poly_3_scale_05;0.0596;0.4541;0.1054;0.9153;0.2476;0.4822;0.3262;0.6723;0.0171;0.4126;0.0328;0.8249;0.0330;0.4517;0.0614;0.7358;0.0893;0.4501;0.1315;0.7871
OCSVM_kernel-poly_3_scale_06;0.0777;0.3892;0.1295;0.9428;0.3324;0.3875;0.3556;0.7707;0.0180;0.3491;0.0342;0.8576;0.0362;0.3759;0.0660;0.7978;0.1161;0.3754;0.1464;0.8422
OCSVM_kernel-poly_3_scale_07;0.1090;0.2865;0.1577;0.9666;0.4555;0.2953;0.3555;0.8258;0.0181;0.2457;0.0337;0.8984;0.0369;0.2704;0.0649;0.8519;0.1549;0.2745;0.1529;0.8857
OCSVM_kernel-poly_3_scale_08;0.1436;0.1892;0.1630;0.9788;0.5945;0.1994;0.2949;0.8450;0.0190;0.1666;0.0341;0.9332;0.0377;0.1733;0.0618;0.8999;0.1987;0.1821;0.1385;0.9142
OCSVM_kernel-poly_3_scale_09;0.3362;0.1000;0.1533;0.9880;0.6927;0.0955;0.1664;0.8425;0.0165;0.0795;0.0274;0.9603;0.0344;0.0940;0.0503;0.9322;0.2700;0.0923;0.0994;0.9307
OCSVM_kernel-poly_3_auto_01;0.0407;0.6676;0.0768;0.8230;0.1720;0.7844;0.2821;0.3350;0.0173;0.5435;0.0335;0.7721;0.0280;0.7169;0.0539;0.5154;0.0645;0.6781;0.1116;0.6114
OCSVM_kernel-poly_3_auto_02;0.0424;0.6514;0.0796;0.8339;0.1792;0.7410;0.2885;0.3922;0.0172;0.5435;0.0334;0.7711;0.0288;0.6922;0.0552;0.5442;0.0669;0.6570;0.1142;0.6353
OCSVM_kernel-poly_3_auto_03;0.0454;0.6081;0.0844;0.8545;0.1915;0.6646;0.2972;0.4784;0.0166;0.5080;0.0322;0.7778;0.0300;0.6295;0.0573;0.6015;0.0709;0.6026;0.1178;0.6781
OCSVM_kernel-poly_3_auto_04;0.0518;0.5459;0.0946;0.8851;0.2079;0.5764;0.3053;0.5664;0.0176;0.4882;0.0341;0.7996;0.0313;0.5339;0.0590;0.6732;0.0772;0.5361;0.1232;0.7310
OCSVM_kernel-poly_3_auto_05;0.0595;0.4541;0.1052;0.9152;0.2475;0.4822;0.3261;0.6721;0.0169;0.4086;0.0325;0.8247;0.0329;0.4517;0.0614;0.7354;0.0892;0.4491;0.1313;0.7868
OCSVM_kernel-poly_3_auto_06;0.0779;0.3892;0.1297;0.9429;0.3315;0.3880;0.3553;0.7701;0.0180;0.3491;0.0342;0.8576;0.0362;0.3759;0.0660;0.7978;0.1159;0.3755;0.1463;0.8421
OCSVM_kernel-poly_3_auto_07;0.1091;0.2865;0.1578;0.9666;0.4549;0.2953;0.3553;0.8257;0.0181;0.2457;0.0336;0.8984;0.0369;0.2704;0.0649;0.8518;0.1547;0.2745;0.1529;0.8856
OCSVM_kernel-poly_3_auto_08;0.1435;0.1892;0.1629;0.9788;0.5945;0.1994;0.2949;0.8450;0.0190;0.1666;0.0340;0.9329;0.0377;0.1733;0.0619;0.9000;0.1986;0.1821;0.1384;0.9142
OCSVM_kernel-poly_3_auto_09;0.3362;0.1000;0.1533;0.9880;0.6940;0.0959;0.1671;0.8425;0.0166;0.0795;0.0275;0.9604;0.0344;0.0940;0.0503;0.9322;0.2703;0.0924;0.0996;0.9308
OCSVM_kernel-rbf_scale_01;0.0303;0.8270;0.0584;0.7061;0.1627;0.8774;0.2745;0.2263;0.0166;0.7775;0.0325;0.6649;0.0280;0.8487;0.0542;0.4289;0.0594;0.8327;0.1049;0.5066
OCSVM_kernel-rbf_scale_02;0.0384;0.7649;0.0732;0.7869;0.1632;0.7820;0.2699;0.2958;0.0188;0.7182;0.0366;0.7273;0.0340;0.7728;0.0652;0.5734;0.0636;0.7595;0.1112;0.5959
OCSVM_kernel-rbf_scale_03;0.0487;0.6730;0.0908;0.8518;0.1687;0.6894;0.2709;0.3831;0.0204;0.6389;0.0396;0.7762;0.0380;0.6673;0.0720;0.6689;0.0689;0.6671;0.1183;0.6700
OCSVM_kernel-rbf_scale_04;0.0564;0.5784;0.1028;0.8889;0.1737;0.5923;0.2686;0.4645;0.0210;0.5483;0.0404;0.8120;0.0421;0.5717;0.0784;0.7418;0.0733;0.5727;0.1225;0.7268
OCSVM_kernel-rbf_scale_05;0.0627;0.4838;0.1110;0.9149;0.1741;0.4822;0.2557;0.5346;0.0221;0.4605;0.0422;0.8494;0.0486;0.4712;0.0881;0.8129;0.0769;0.4744;0.1242;0.7779
OCSVM_kernel-rbf_scale_06;0.0701;0.3757;0.1182;0.9386;0.1772;0.3876;0.2430;0.6008;0.0235;0.3614;0.0440;0.8869;0.0513;0.3757;0.0902;0.8556;0.0805;0.3751;0.1239;0.8205
